town,candidate,votes
Williamsburg,Trump,346.0
Barnstable,Stein,343.0
Framingham,Stein,341.0
Harwich,Johnson,340.0
Northampton,Johnson,340.0
Sterling,Johnson,339.0
New Salem,Clinton,337.0
Westfield,Stein,337.0
Granville,Clinton,335.0
Cummington,Clinton,334.0
Malden,Stein,334.0
Swampscott,Johnson,333.0
Weston,Johnson,331.0
West Tisbury,Trump,329.0
Hanson,Johnson,329.0
Randolph,Johnson,329.0
Beverly,Stein,329.0
Whately,Trump,328.0
Georgetown,Johnson,328.0
Clarksburg,Trump,327.0
Rutland,Johnson,327.0
Southborough,Johnson,327.0
New Braintree,Trump,326.0
Athol,Johnson,326.0
Upton,Johnson,326.0
Palmer,Johnson,322.0
Seekonk,Johnson,322.0
Royalston,Trump,321.0
Rehoboth,Johnson,321.0
Norwell,Johnson,320.0
Sturbridge,Johnson,320.0
Watertown,Stein,320.0
Attleboro,Stein,319.0
Leicester,Johnson,318.0
Winthrop,Johnson,318.0
Fairhaven,Johnson,317.0
Hamilton,Johnson,317.0
Lakeville,Johnson,315.0
Royalston,Clinton,313.0
Windsor,Clinton,313.0
Petersham,Trump,312.0
Millis,Johnson,309.0
Sutton,Johnson,309.0
Everett,Johnson,307.0
Leyden,Clinton,306.0
Westport,Johnson,306.0
Easthampton,Stein,305.0
Greenfield,Stein,305.0
Maynard,Johnson,303.0
Douglas,Johnson,299.0
Plainville,Johnson,299.0
Boxford,Johnson,297.0
Brewster,Johnson,296.0
Spencer,Johnson,296.0
Winchendon,Johnson,296.0
Ayer,Johnson,292.0
Dudley,Johnson,292.0
Erving,Trump,289.0
Stow,Johnson,286.0
Lynnfield,Johnson,285.0
Lancaster,Johnson,282.0
Swansea,Johnson,282.0
Montgomery,Trump,281.0
Russell,Clinton,278.0
Westminster,Johnson,276.0
Gloucester,Stein,272.0
Warwick,Clinton,271.0
Templeton,Johnson,270.0
Chesterfield,Trump,267.0
Southwick,Johnson,267.0
Dover,Johnson,265.0
Falmouth,Stein,264.0
Plainfield,Clinton,263.0
Peabody,Stein,262.0
Nantucket,Johnson,260.0
Gill,Trump,259.0
Leominster,Stein,259.0
Colrain,Trump,257.0
Billerica,Stein,257.0
Fitchburg,Stein,257.0
Blandford,Clinton,256.0
Peru,Clinton,255.0
Sandisfield,Clinton,254.0
Blackstone,Johnson,253.0
Hull,Johnson,253.0
Stockbridge,Trump,252.0
Conway,Trump,249.0
Holbrook,Johnson,248.0
Ashburnham,Johnson,247.0
New Braintree,Clinton,246.0
Heath,Clinton,244.0
Cohasset,Johnson,244.0
Lexington,Stein,244.0
Monson,Johnson,243.0
Ware,Johnson,243.0
North Adams,Johnson,241.0
Chester,Clinton,238.0
Revere,Stein,238.0
Belmont,Stein,237.0
Methuen,Stein,235.0
West Boylston,Johnson,232.0
Chelmsford,Stein,232.0
Aquinnah,Clinton,231.0
Dartmouth,Stein,231.0
Buckland,Trump,230.0
Shelburne,Trump,230.0
Bolton,Johnson,230.0
Worthington,Trump,229.0
Charlemont,Trump,227.0
Halifax,Johnson,227.0
Manchester,Johnson,227.0
West Bridgewater,Johnson,227.0
Alford,Clinton,226.0
Merrimac,Johnson,225.0
Rockport,Johnson,225.0
Marlborough,Stein,225.0
North Attleborough,Stein,223.0
Rowley,Johnson,221.0
New Marlborough,Trump,218.0
Richmond,Trump,218.0
Orange,Johnson,218.0
Lawrence,Stein,218.0
Natick,Stein,218.0
Washington,Clinton,217.0
Salisbury,Johnson,216.0
Chatham,Johnson,215.0
Newbury,Johnson,215.0
Mendon,Johnson,214.0
Braintree,Stein,214.0
Goshen,Trump,213.0
Montague,Johnson,213.0
Shirley,Johnson,213.0
Topsfield,Johnson,209.0
Woburn,Stein,209.0
New Salem,Trump,208.0
Provincetown,Trump,208.0
Agawam,Stein,208.0
West Springfield,Stein,208.0
Peru,Trump,207.0
Acton,Stein,207.0
Hubbardston,Johnson,203.0
Tyringham,Clinton,201.0
Chelsea,Johnson,201.0
Montgomery,Clinton,199.0
Hopedale,Johnson,197.0
Andover,Stein,195.0
Sherborn,Johnson,194.0
Shrewsbury,Stein,194.0
Southampton,Johnson,193.0
Carlisle,Johnson,192.0
Middleton,Johnson,192.0
Wenham,Johnson,192.0
Florida,Clinton,190.0
Sandisfield,Trump,190.0
Tolland,Trump,190.0
Groveland,Johnson,190.0
Orleans,Johnson,190.0
Belchertown,Stein,190.0
Hancock,Clinton,189.0
Adams,Johnson,189.0
Yarmouth,Stein,189.0
West Newbury,Johnson,188.0
Dracut,Stein,187.0
Leverett,Trump,185.0
Savoy,Clinton,184.0
Ashfield,Trump,184.0
Norwood,Stein,184.0
