Incident_Num,Shooting_Date,DISTRICT,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim
I152068856,8/20/2015 1:10,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152068848,8/20/2015 15:39,E5,Non-Fatal,Male,White,Hispanic or Latinx,f
I152069800,8/23/2015 1:45,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152070024,8/24/2015 0:57,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152070281,8/24/2015 21:55,C11,Non-Fatal,Female,Black or African American,Hispanic or Latinx,f
I152071596,8/29/2015 2:42,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071596,8/29/2015 2:42,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071596,8/29/2015 2:42,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071596,8/29/2015 2:42,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071585,8/29/2015 1:46,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152071601,8/29/2015 2:32,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152073939,9/6/2015 1:14,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152073942,9/6/2015 1:54,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152073942,9/6/2015 1:54,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152075106,9/10/2015 4:38,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152075954,9/12/2015 22:27,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152077031,9/16/2015 12:12,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
152078475,9/21/2015 0:14,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152078988,9/22/2015 16:33,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152079378,9/23/2015 20:40,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152079776,9/25/2015 1:44,E18,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I152080107,9/26/2015 1:10,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152080693,9/28/2015 4:59,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152080898,9/28/2015 20:36,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152081264,9/30/2015 4:05,E18,Fatal,Male,White,Not Hispanic or Latinx,f
I152082012,10/2/2015 18:12,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152082409,10/4/2015 4:14,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152085312,10/14/2015 2:20,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152081498,9/30/2015 22:12,A7,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152086458,10/18/2015 23:55,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152087906,10/22/2015 11:45,D14,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152088337,10/24/2015 9:00,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152089426,10/28/2015 15:04,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I152090710,11/1/2015 16:09,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152090355,10/31/2015 17:56,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152091104,11/3/2015 0:25,C11,Fatal,Male,White,Hispanic or Latinx,f
I152092670,11/8/2015 0:01,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152094689,11/14/2015 16:55,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152094666,11/14/2015 16:55,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I152094639,11/14/2015 15:14,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152096420,11/20/2015 17:58,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I152096420,11/20/2015 17:58,E13,Fatal,Male,White,Hispanic or Latinx,t
I152096809,11/21/2015 22:01,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152097955,11/26/2015 1:56,D14,Non-Fatal,Male,White,Hispanic or Latinx,f
I152097957,11/26/2015 2:00,D4,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152097957,11/26/2015 2:00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152097957,11/26/2015 2:00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152097957,11/26/2015 2:00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152098594,11/28/2015 21:45,D4,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I152098729,11/29/2015 15:10,D4,Non-Fatal,Male,White,Hispanic or Latinx,f
I152098897,11/30/2015 12:19,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152100461,12/5/2015 12:55,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152100585,12/5/2015 20:32,C6,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152100622,12/5/2015 23:10,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152101582,12/9/2015 1:32,D4,Fatal,Male,Black or African American,Hispanic or Latinx,f
I152101840,12/9/2015 20:22,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152102506,12/12/2015 2:10,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152085872,10/15/2015 23:14,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103493,12/15/2015 16:32,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103255,12/14/2015 20:01,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103817,12/16/2015 17:59,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103866,12/16/2015 21:54,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103899,12/17/2015 0:45,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152103905,12/17/2015 2:12,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152104401,12/18/2015 16:00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152105038,12/20/2015 21:41,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152105346,12/21/2015 21:45,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I152105891,12/23/2015 18:19,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152105851,12/23/2015 15:39,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152105851,12/23/2015 15:14,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I152106846,12/27/2015 20:22,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106597,12/26/2015 21:17,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106575,12/26/2015 20:33,A15,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106565,12/26/2015 19:27,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152106351,12/25/2015 17:27,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152107190,12/29/2015 8:47,B3,Fatal,Male,White,Hispanic or Latinx,t
I152107190,12/29/2015 8:47,B3,Non-Fatal,Male,White,Not Hispanic or Latinx,t
I152107623,12/30/2015 22:56,A7,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152107617,12/30/2015 21:55,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162000112,1/1/2016 5:30,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I162002449,1/9/2016 16:15,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162002052,1/8/2016 10:25,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I162002573,1/10/2016 1:36,A7,Fatal,Male,White,Hispanic or Latinx,f
I162003560,1/13/2016 19:36,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162003848,1/14/2016 21:30,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162004418,1/16/2016 22:05,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162004526,1/17/2016 12:17,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162005173,1/20/2016 20:20,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162006622,1/25/2016 14:38,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I162007065,1/27/2016 1:39,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162007640,1/29/2016 0:33,B3,Non-Fatal,Female,Black or African American,Hispanic or Latinx,f
I162008969,2/2/2016 16:40,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162009661,2/5/2016 2:37,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I162009661,2/5/2016 2:37,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I162009550,2/4/2016 17:46,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162011468,2/12/2016 10:25,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I162011468,2/12/2016 10:25,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I162013434,2/20/2016 3:30,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162013862,2/21/2016 16:29,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162017441,3/5/2016 14:21,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162020921,3/17/2016 17:33,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I1620201821,3/20/2016 21:24,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162021886,3/21/2016 5:49,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I162021886,3/21/2016 5:49,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I162022418,3/22/2016 22:29,A7,Fatal,Male,White,Not Hispanic or Latinx,f
I162022446,3/22/2016 23:33,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I162022446,3/22/2016 23:33,E13,Non-Fatal,Female,Unknown,Unknown,t
I162023617,3/27/2016 2:11,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
