service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2021/12/01 05:00:00+00,Ferry,Ferry,31507,1370,23,32649,1053,31,708
2021/12/01 05:00:00+00,Rail,Green Line,1531641,66593,23,1917705,61861,31,709
2021/12/01 05:00:00+00,Rail,Orange Line,1954648,84985,23,2375158,76618,31,710
2021/12/01 05:00:00+00,Rail,Red Line,2210277,96099,23,2642162,85231,31,711
2021/12/01 05:00:00+00,Bus,Silver Line,477750,20772,23,613883,19803,31,712
2021/12/01 05:00:00+00,The RIDE,The RIDE,64676,2812,23,75386,2432,31,713
2021/01/01 05:00:00+00,Bus,Silver Line,240789,12673,19,342824,11059,31,714
2021/01/01 05:00:00+00,The RIDE,The RIDE,39419,2075,19,51681,1667,31,715
2021/02/01 05:00:00+00,The RIDE,The RIDE,39954,2103,19,48317,1726,28,716
2021/02/01 05:00:00+00,Rail,Blue Line,419572,22083,19,554967,19820,28,717
2021/02/01 05:00:00+00,Bus,Bus,2710928,142680,19,3423185,122257,28,718
2021/02/01 05:00:00+00,Commuter Rail,Commuter Rail,231936,12207,19,276008,9857,28,719
2021/02/01 05:00:00+00,Ferry,Ferry,4074,214,19,4074,146,28,720
2021/02/01 05:00:00+00,Rail,Green Line,729953,38419,19,1017548,36341,28,721
2021/02/01 05:00:00+00,Rail,Orange Line,951911,50101,19,1219121,43540,28,722
2021/02/01 05:00:00+00,Rail,Red Line,995864,52414,19,1289269,46045,28,723
2021/02/01 05:00:00+00,Bus,Silver Line,246434,12970,19,328957,11748,28,724
2021/03/01 05:00:00+00,Rail,Blue Line,559015,24305,23,693566,22373,31,725
2021/03/01 05:00:00+00,Bus,Bus,3565098,155004,23,4260481,137435,31,726
2021/03/01 05:00:00+00,Commuter Rail,Commuter Rail,312152,13572,23,353466,11402,31,727
2021/03/01 05:00:00+00,Ferry,Ferry,6920,301,23,6920,223,31,728
2021/03/01 05:00:00+00,Rail,Green Line,951153,41354,23,1245044,40163,31,729
2021/03/01 05:00:00+00,Rail,Orange Line,1206853,52472,23,1455806,46961,31,730
2021/03/01 05:00:00+00,Rail,Red Line,1317620,57288,23,1609594,51922,31,731
2021/03/01 05:00:00+00,Bus,Silver Line,327929,14258,23,407218,13136,31,732
2021/03/01 05:00:00+00,The RIDE,The RIDE,54953,2389,23,63048,2034,31,733
2021/04/01 04:00:00+00,Rail,Blue Line,580783,26399,22,735858,24529,30,734
2021/04/01 04:00:00+00,Bus,Bus,3443649,156530,22,4315451,143848,30,735
2021/04/01 04:00:00+00,Commuter Rail,Commuter Rail,368460,16748,22,395988,13200,30,736
2021/04/01 04:00:00+00,Ferry,Ferry,8679,395,22,8679,289,30,737
2021/04/01 04:00:00+00,Rail,Green Line,946272,43012,22,1311394,43713,30,738
2021/04/01 04:00:00+00,Rail,Orange Line,1250603,56846,22,1532138,51071,30,739
2021/04/01 04:00:00+00,Rail,Red Line,1376529,62570,22,1721700,57390,30,740
2021/04/01 04:00:00+00,Bus,Silver Line,324681,14758,22,423432,14114,30,741
2021/04/01 04:00:00+00,The RIDE,The RIDE,53632,2438,22,62512,2084,30,742
2021/05/01 04:00:00+00,Rail,Blue Line,593029,29651,20,818355,26399,31,743
2021/05/01 04:00:00+00,Bus,Bus,3635163,181758,20,4636156,149554,31,744
2021/05/01 04:00:00+00,Commuter Rail,Commuter Rail,450400,22520,20,520549,16792,31,745
2021/05/01 04:00:00+00,Ferry,Ferry,13076,654,20,13076,422,31,746
2021/05/01 04:00:00+00,Rail,Green Line,1006396,50320,20,1373239,44298,31,747
2021/05/01 04:00:00+00,Rail,Orange Line,1319598,65980,20,1776863,57318,31,748
2021/05/01 04:00:00+00,Rail,Red Line,1446952,72348,20,1934955,62418,31,749
2021/05/01 04:00:00+00,Bus,Silver Line,348164,17408,20,476610,15375,31,750
2021/05/01 04:00:00+00,The RIDE,The RIDE,52431,2622,20,64259,2073,31,751
2021/06/01 04:00:00+00,Rail,Blue Line,724733,32942,22,917811,30594,30,752
2021/06/01 04:00:00+00,Bus,Bus,4129144,187689,22,4954365,165146,30,753
2021/06/01 04:00:00+00,Commuter Rail,Commuter Rail,615247,27966,22,642280,21409,30,754
2021/06/01 04:00:00+00,Ferry,Ferry,39089,1777,22,50814,1694,30,755
2021/06/01 04:00:00+00,Rail,Green Line,1240368,56380,22,1521404,50713,30,756
2021/06/01 04:00:00+00,Rail,Orange Line,1610703,73214,22,1982030,66068,30,757
2021/06/01 04:00:00+00,Rail,Red Line,1788530,81297,22,2219093,73970,30,758
2021/06/01 04:00:00+00,Bus,Silver Line,418916,19042,22,526528,17551,30,759
2021/06/01 04:00:00+00,The RIDE,The RIDE,58594,2663,22,68711,2290,30,760
2021/07/01 04:00:00+00,Rail,Blue Line,733582,33345,22,982481,31693,31,761
2021/07/01 04:00:00+00,Bus,Bus,4014668,182485,22,5005340,161462,31,762
2021/07/01 04:00:00+00,Commuter Rail,Commuter Rail,649985,29545,22,771532,24888,31,763
2021/07/01 04:00:00+00,Ferry,Ferry,53003,2409,22,68016,2194,31,764
2021/07/01 04:00:00+00,Rail,Green Line,1366386,62108,22,1829609,59020,31,765
2021/07/01 04:00:00+00,Rail,Orange Line,1657976,75363,22,2159671,69667,31,766
